metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
postgres.connections_utilization,,used,percentage,"Connections utilization",line,,go.d.plugin,postgres
postgres.connections_usage,,"available, used",connections,"Connections usage",stacked,,go.d.plugin,postgres
postgres.connections_state_count,,"active, idle, idle_in_transaction, idle_in_transaction_aborted, disabled",connections,"Connections in each state",stacked,,go.d.plugin,postgres
postgres.transactions_duration,,a dimension per bucket,transactions/s,"Observed transactions time",stacked,,go.d.plugin,postgres
postgres.queries_duration,,a dimension per bucket,queries/s,"Observed active queries time",stacked,,go.d.plugin,postgres
postgres.locks_utilization,,used,percentage,"Acquired locks utilization",line,,go.d.plugin,postgres
postgres.checkpoints_rate,,"scheduled, requested",checkpoints/s,"Checkpoints",stacked,,go.d.plugin,postgres
postgres.checkpoints_time,,"write, sync",milliseconds,"Checkpoint time",stacked,,go.d.plugin,postgres
postgres.bgwriter_halts_rate,,maxwritten,events/s,"Background writer scan halts",line,,go.d.plugin,postgres
postgres.buffers_io_rate,,"checkpoint, backend, bgwriter",B/s,"Buffers written rate",area,,go.d.plugin,postgres
postgres.buffers_backend_fsync_rate,,fsync,calls/s,"Backend fsync calls",line,,go.d.plugin,postgres
postgres.buffers_allocated_rate,,allocated,B/s,"Buffers allocated",line,,go.d.plugin,postgres
postgres.wal_io_rate,,write,B/s,"Write-Ahead Log writes",line,,go.d.plugin,postgres
postgres.wal_files_count,,"written, recycled",files,"Write-Ahead Log files",stacked,,go.d.plugin,postgres
postgres.wal_archiving_files_count,,"ready, done",files/s,"Write-Ahead Log archived files",stacked,,go.d.plugin,postgres
postgres.autovacuum_workers_count,,"analyze, vacuum_analyze, vacuum, vacuum_freeze, brin_summarize",workers,"Autovacuum workers",line,,go.d.plugin,postgres
postgres.txid_exhaustion_towards_autovacuum_perc,,emergency_autovacuum,percentage,"Percent towards emergency autovacuum",line,,go.d.plugin,postgres
postgres.txid_exhaustion_perc,,txid_exhaustion,percentage,"Percent towards transaction ID wraparound",line,,go.d.plugin,postgres
postgres.txid_exhaustion_oldest_txid_num,,xid,xid,"Oldest transaction XID",line,,go.d.plugin,postgres
postgres.catalog_relations_count,,"ordinary_table, index, sequence, toast_table, view, materialized_view, composite_type, foreign_table, partitioned_table, partitioned_index",relations,"Relation count",stacked,,go.d.plugin,postgres
postgres.catalog_relations_size,,"ordinary_table, index, sequence, toast_table, view, materialized_view, composite_type, foreign_table, partitioned_table, partitioned_index",B,"Relation size",stacked,,go.d.plugin,postgres
postgres.uptime,,uptime,seconds,"Uptime",line,,go.d.plugin,postgres
postgres.databases_count,,databases,databases,"Number of databases",line,,go.d.plugin,postgres
postgres.replication_app_wal_lag_size,repl application,"sent_lag, write_lag, flush_lag, replay_lag",B,"Standby application WAL lag size",line,application,go.d.plugin,postgres
postgres.replication_app_wal_lag_time,repl application,"write_lag, flush_lag, replay_lag",seconds,"Standby application WAL lag time",line,application,go.d.plugin,postgres
postgres.replication_slot_files_count,repl slot,"wal_keep, pg_replslot_files",files,"Replication slot files",line,slot,go.d.plugin,postgres
postgres.db_transactions_ratio,database,"committed, rollback",percentage,"Database transactions ratio",line,database,go.d.plugin,postgres
postgres.db_transactions_rate,database,"committed, rollback",transactions/s,"Database transactions",line,database,go.d.plugin,postgres
postgres.db_connections_utilization,database,used,percentage,"Database connections utilization",line,database,go.d.plugin,postgres
